URL in paper,Date file was last used,Filename,SSRN link
http://www.innovation.gov.au/Higher,Wed Dec 17 19:00:00 2014,ACFI_ACFI12024.pdf,Unknown
http://www.rba.gov.au/statistics/hist-exchange-rates/index.html.,Wed Dec 17 19:00:00 2014,ACFI_ACFI12031.pdf,Unknown
http://www.csrc.gov.cn/pub/csrc_en/newsfacts/,Wed Dec 17 19:01:00 2014,ACFI_ACFI12032.pdf,Unknown
http://www.csrc.gov.cn/pub/csrc_en/newsfacts/release/200812/t20081229_69251.,Wed Dec 17 19:01:00 2014,ACFI_ACFI12032.pdf,Unknown
http://www.sec.gov/news/press/2012/2012-163.htm.,Wed Nov 27 18:30:00 2013,ACFI_ACFI12033.pdf,Unknown
http://www.sec.gov/rules/ﬁnal/2012/34—67716.pdf.,Wed Nov 27 18:30:00 2013,ACFI_ACFI12033.pdf,Unknown
http://www.innovation.gov.au/,Wed Dec 17 19:01:00 2014,ACFI_ACFI12036.pdf,Unknown
http://www.fma.govt.nz/keep-updated/reports-,Wed Dec 17 19:01:00 2014,ACFI_ACFI12037.pdf,Unknown
http://www.rbnz.govt.nz/ﬁnstab/nbdt/,Wed Dec 17 19:01:00 2014,ACFI_ACFI12039.pdf,Unknown
http://www.sfo.govt.nz.,Wed Dec 17 19:01:00 2014,ACFI_ACFI12039.pdf,Unknown
http://www.oag.govt.nz/2011/,Wed Dec 17 19:01:00 2014,ACFI_ACFI12039.pdf,Unknown
http://www.rbnz.govt.nz/statistics/monﬁn/nblissr/download.,Wed Dec 17 19:01:00 2014,ACFI_ACFI12039.pdf,Unknown
"http://www.usdoj.gov/atr/public/testimony/hhi.htm,",Wed Nov 27 18:31:00 2013,ACFI_ACFI12051.pdf,Unknown
http://www.justice.gov),Tue Sep 23 19:01:00 2014,ACFI_ACFI12092.pdf,Unknown
http://www.sec.gov/rules/ﬁnal/33-8591.pdf,Tue Sep 23 19:01:00 2014,ACFI_ACFI12092.pdf,Unknown
http://www.eia.doe.gov/emeu/interna,Sat Mar 13 18:00:00 2010,beer_1588.pdf,Unknown
http://www.sec.gov/rules/ﬁnal/33-8177.htm,Sat Mar 13 18:00:00 2010,beer_1588.pdf,Unknown
http://www.inlandrevenue.gov.uk/about/,Thu Aug  8 02:04:00 2013,bjom12031.pdf,Unknown
http://www.inlandrevenue.gov.uk/about/,Thu Aug  8 02:04:00 2013,bjom12031.pdf,Unknown
http://www.ir.gov.uk/pdfs/report2002.pdf,Thu Aug  8 02:04:00 2013,bjom12031.pdf,Unknown
http://customs.hmrc.gov.uk/,Thu Aug  8 02:04:00 2013,bjom12031.pdf,Unknown
http://www.hmrc.gov.uk/,Thu Aug  8 02:04:00 2013,bjom12031.pdf,Unknown
http://www.ir.gov.uk/news/tax_,Thu Aug  8 02:04:00 2013,bjom12031.pdf,Unknown
http://oversight.house.gov/,Wed Nov 21 02:01:00 2012,bjom779.pdf,Unknown
http://www.state.gov/e/eb/ifd/2005/,Thu May 10 02:02:00 2012,bjom804.pdf,Unknown
http://www.statistics.gov.uk/,Sat Aug  3 02:03:00 2013,bjom811.pdf,Unknown
http://www.mfat.govt.nz/downloads/,Tue Apr  8 19:00:00 2014,BJOM_BJOM12003.pdf,Unknown
http://www.stats.govt.nz.,Tue Apr  8 19:00:00 2014,BJOM_BJOM12003.pdf,Unknown
http://www.nsf.gov/,Thu Jan  2 19:00:00 2014,BJOM_BJOM12009.pdf,Unknown
http://www.legislation.gov.uk/uksi/2000/1551/contents/made,Wed Oct  1 19:00:00 2014,BJOM_BJOM12011.pdf,Unknown
http://www.bls.gov/news.release/empsit.t09.htm,Wed Oct  1 19:00:00 2014,BJOM_BJOM12011.pdf,Unknown
http://www.dti.gov.uk/,Wed Oct  1 19:00:00 2014,BJOM_BJOM12011.pdf,Unknown
http://www.ons.gov.uk/ons/,Wed Oct  1 19:00:00 2014,BJOM_BJOM12011.pdf,Unknown
http://www.ons.gov.uk/ons/rel/,Wed Oct  1 19:00:00 2014,BJOM_BJOM12011.pdf,Unknown
http://www.casey.vic.gov.au/,Thu Jul 24 19:03:00 2014,BJOM_BJOM12034.pdf,Unknown
http://www.ons.gov.uk/ons/rel/pse/public-,Wed Oct  1 19:00:00 2014,BJOM_BJOM12041.pdf,Unknown
http://data.bls.gov/cgi-bin/,Wed Oct  1 19:01:00 2014,BJOM_BJOM12052.pdf,Unknown
http://www.mofcom.gov,Thu Jan 15 18:15:00 2015,BJOM_BJOM12059.pdf,Unknown
http://www.mofcom.gov.cn/aarticle/ae/ai/,Thu Jan 15 18:15:00 2015,BJOM_BJOM12059.pdf,Unknown
http://www.hmrc.gov.uk/ria/spin-out.pdf.,Thu Jan 15 18:15:00 2015,BJOM_BJOM12069.pdf,Unknown
http://www.abs.gov.au/,Thu Nov 14 18:32:00 2013,BJOM_BJOM826.pdf,Unknown
http://www.census.gov/compendia/,Thu Nov 14 18:32:00 2013,BJOM_BJOM826.pdf,Unknown
http://www.census.gov/eos/,Tue Apr  8 19:02:00 2014,BJOM_BJOM847.pdf,Unknown
http://www.ons.gov.uk/ons/guide-method/classiﬁcations/current-standard-,Mon Feb  2 13:15:00 2015,DP10365.pdf,Unknown
http://www.bea.gov/iTable/index,Sat Jan 31 03:15:00 2015,dp8781.pdf,Unknown
http://www.bea.gov/iTable/index,Sat Jan 31 03:15:00 2015,dp8781.pdf,Unknown
https://www.census.gov/population/www/censusdata/ﬁles/90den,Sat Jan 31 03:15:00 2015,dp8781.pdf,Unknown
http://www.census.gov/housing/hvs/data/q314ind.html,Sat Jan 31 03:15:00 2015,dp8781.pdf,Unknown
http://www.digitalbangladesh.gov.bd/blog.php?ID=22),Tue Oct 28 08:00:00 2014,ejis_2013_14.pdf,Unknown
http://www.bangladesh.gov.bd/,Tue Oct 28 08:00:00 2014,ejis_2013_14.pdf,Unknown
http://www.justice.gov.uk/,Wed Apr  3 02:07:00 2013,faam12012.pdf,Unknown
"http://www.justice.gov.uk/contacts/prison-finder/contracted-out-prisons,",Wed Apr  3 02:07:00 2013,faam12012.pdf,Unknown
http://www.justice.gov.uk/,Wed Apr  3 02:07:00 2013,faam12012.pdf,Unknown
http://www.finance.gov.au/).,Tue Jan  6 18:15:00 2015,FAAM_FAAM12046.pdf,Unknown
http://www.sec.gov/,Fri Apr  5 02:03:00 2013,fire12001.pdf,Unknown
http://www.sec.gov/litigation/litreleases/2006/lr19794.htm.,Fri Apr  5 02:03:00 2013,fire12001.pdf,Unknown
http://www.sec.gov/Archives/edgar/data/723612/000119312506153385/ddef14a.htm,Fri Apr  5 02:03:00 2013,fire12002.pdf,Unknown
http://www.sec.gov/Archives/edgar/data/,Fri Apr  5 02:03:00 2013,fire12002.pdf,Unknown
http://www.sec.gov/Archives/edgar/data/,Fri Apr  5 02:03:00 2013,fire12002.pdf,Unknown
http://www.federalreserve.gov/releases/z1/current/,Sat Jul  6 02:01:00 2013,fire12008.pdf,Unknown
http://www.ffiec.gov/nicpubweb/nicweb/Top50Form.aspx.,Sat Jul  6 02:01:00 2013,fire12008.pdf,Unknown
"http://www.eia.doe.gov/),",Fri Jan 17 19:02:00 2014,FIRE_FIRE12029.pdf,Unknown
http://www.sec.gov/comments/s7-02-10/s70210-,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://www.cftc.gov/ucm/groups/public/@newsroom/documents/,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://www.bis.gov.uk/assets/foresight/docs/computer-trading/12-,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://sec.gov/comments/s7–02–10/s70210–129.pdf,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://www.sec.gov/News/Speech/Detail/Speech/1370540470552,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://www.sec.gov/,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://www.sec.gov/news/studies/2010/marketevents-,Mon Apr  7 19:00:00 2014,FIRE_FIRE12031.pdf,Unknown
http://www.cftc.gov/ucm/groups/public/@newsroom/documents/file/sef_factsheet_final.pdf,Mon Apr  7 19:01:00 2014,FIRE_FIRE12033.pdf,Unknown
http://www.sec.gov/news/speech/2010/spch090710mls.htm,Mon Apr  7 19:01:00 2014,FIRE_FIRE12033.pdf,Unknown
http://www.sec.gov/Archives/edgar/data/1060749/,Mon Apr  7 19:01:00 2014,FIRE_FIRE12035.pdf,Unknown
http://www.sec.gov/news/studies/2010/,Mon Apr  7 19:01:00 2014,FIRE_FIRE12035.pdf,Unknown
http://www.sec.gov/sec-cftc-,Mon Apr  7 19:01:00 2014,FIRE_FIRE12035.pdf,Unknown
http://www.sec.gov/answers/bestex.htm,Mon Apr  7 19:01:00 2014,FIRE_FIRE12035.pdf,Unknown
http://www.fsa.gov.uk/pubs/,Mon Apr  7 19:02:00 2014,FIRE_FIRE12039.pdf,Unknown
http://www.census.gov/hhes/,Tue Jan 13 18:15:00 2015,FIRE_FIRE12060.pdf,Unknown
http://www.data.boem.gov/,Fri Jan 23 18:16:00 2015,IERE_IERE12098.pdf,Unknown
http://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=E_ERTW0_XWC0_NUS_C&f=A,Fri Jan 23 18:16:00 2015,IERE_IERE12098.pdf,Unknown
http://www.sec.gov/.,Fri May 10 02:02:00 2013,ijau461.pdf,Unknown
http://www.sec.gov/rules/,Sat Feb 13 18:00:00 2010,ijau_403.pdf,Unknown
http://banking.senate.gov/,Sat Feb 13 18:00:00 2010,ijau_403.pdf,Unknown
http://www.berr.gov.uk/,Tue Jun 22 18:03:00 2010,ijau_415.pdf,Unknown
http://www.berr.gov.uk/,Tue Jun 22 18:03:00 2010,ijau_415.pdf,Unknown
http://www.gao.gov/new.items/d08163.pdf,Mon Feb 17 19:01:00 2014,IJAU_IJAU12011.pdf,Unknown
http://www.sec.gov/,Mon Feb 17 19:01:00 2014,IJAU_IJAU12012.pdf,Unknown
http://www.asic.gov.au/asic/asic.nsf/byheadline/CLERP,Mon Feb 17 19:02:00 2014,IJAU_IJAU12013.pdf,Unknown
http://www.oag.govt,Mon Feb 17 19:02:00 2014,IJAU_IJAU12014.pdf,Unknown
http://www.efsa.gov.eg/content/efsa2_en/,Wed Jun 11 19:01:00 2014,IJAU_IJAU12018.pdf,Unknown
http://www.gao.gov/,Wed Jun 11 19:01:00 2014,IJAU_IJAU12019.pdf,Unknown
http://www.treasury.gov/,Thu Oct  9 19:00:00 2014,IJAU_IJAU12022.pdf,Unknown
http://www.legislation.gov.uk/ukpga/2006/46/pdfs/,Thu Oct  9 19:00:00 2014,IJAU_IJAU12022.pdf,Unknown
http://www.acra.gov.sg/NR/rdonlyres/,Thu Oct  9 19:00:00 2014,IJAU_IJAU12023.pdf,Unknown
http://www.acra.gov.sg/NR/rdonlyres/4C5D29D8,Thu Oct  9 19:00:00 2014,IJAU_IJAU12023.pdf,Unknown
http://www.info.gov.za/speeches/2002/,Thu Oct  9 19:00:00 2014,IJAU_IJAU12025.pdf,Unknown
https://www.nhvr.gov.au/safety-accreditation,Thu Oct  9 19:01:00 2014,IJAU_IJAU12026.pdf,Unknown
https://www.nhvr.gov.au/files/,Thu Oct  9 19:01:00 2014,IJAU_IJAU12026.pdf,Unknown
http://webarchive.nationalarchives.gov.uk/+/http://,Wed Jan 28 18:15:00 2015,IJAU_IJAU12031.pdf,Unknown
http://www.Metofﬁce.gov.uk/research/our-scientists,Tue Apr  8 19:05:00 2014,IJMR_IJMR12016.pdf,Unknown
